,CSP,Sexe,Salaire,Age
120,Cadre,Femme,3766.07497356216,24
121,Cadre,Femme,3782.02374602642,29
122,Cadre,Femme,3782.26135861277,35
123,Cadre,Femme,3787.06382462132,29
124,Cadre,Femme,3788.66016560516,25
125,Cadre,Femme,3798.33083295666,31
126,Cadre,Femme,3800.22626894475,38
127,Cadre,Femme,3802.11090878473,30
128,Cadre,Femme,3804.83546894382,27
129,Cadre,Femme,3806.21135294951,35
130,Cadre,Femme,3810.87977830439,25
131,Cadre,Femme,3821.26783955845,25
132,Cadre,Femme,3827.1197332438,27
133,Cadre,Femme,3834.2130905151,29
134,Cadre,Femme,3839.56967945056,30
135,Cadre,Femme,3847.71773029758,30
136,Cadre,Femme,3848.74362541207,32
137,Cadre,Femme,3850.03493967436,28
138,Cadre,Femme,3852.67059804126,32
139,Cadre,Femme,3860.54760959185,25
140,Cadre,Femme,3861.8415738093,33
141,Cadre,Femme,3866.21533635078,26
142,Cadre,Femme,3866.83854734506,36
143,Cadre,Femme,3869.817449312,26
144,Cadre,Femme,3881.40147120902,31
145,Cadre,Femme,3890.2967639322,35
146,Cadre,Femme,3891.21094769864,33
147,Cadre,Femme,3899.05506832125,37
148,Cadre,Femme,3900.08748925157,27
149,Cadre,Femme,3900.21951654172,38
150,Cadre,Femme,3917.00521003073,29
151,Cadre,Femme,3919.34291908296,37
152,Cadre,Femme,3920.68716315205,32
153,Cadre,Femme,3923.09467733004,29
154,Cadre,Femme,3930.06151434785,38
155,Cadre,Femme,3933.20025587155,34
156,Cadre,Femme,3935.096121227,33
157,Cadre,Femme,3940.93717975208,39
158,Cadre,Femme,3948.35362608668,39
159,Cadre,Femme,3954.01981891885,34
160,Cadre,Femme,3958.70196232717,38
161,Cadre,Femme,3959.24773631227,34
162,Cadre,Femme,3962.01431003506,34
163,Cadre,Femme,3962.76326180437,29
164,Cadre,Femme,3967.38033266434,27
165,Cadre,Femme,3971.36194913856,27
166,Cadre,Femme,3971.83639056362,30
167,Cadre,Femme,3974.09121123092,29
168,Cadre,Femme,3984.9543569906,31
169,Cadre,Femme,3988.00417990898,31
170,Cadre,Femme,3992.67620088293,33
171,Cadre,Femme,3999.56213199944,35
172,Cadre,Femme,4003.99000724257,27
173,Cadre,Femme,4005.22663932636,32
174,Cadre,Femme,4008.70078311506,27
175,Cadre,Femme,4024.38678363953,34
176,Cadre,Femme,4029.59263384017,34
177,Cadre,Femme,4034.09460693126,40
178,Cadre,Femme,4034.44341690299,32
179,Cadre,Femme,4042.1223637988,32
180,Cadre,Femme,4046.33401814626,32
181,Cadre,Femme,4047.80644929025,31
182,Cadre,Femme,4050.14233772982,36
183,Cadre,Femme,4058.8542046364,36
184,Cadre,Femme,4067.12281668758,40
185,Cadre,Femme,4075.05020595211,37
186,Cadre,Femme,4076.43018810791,41
187,Cadre,Femme,4083.47425231272,28
188,Cadre,Femme,4089.33303042607,40
189,Cadre,Femme,4092.13768959483,38
190,Cadre,Femme,4095.62965275791,35
191,Cadre,Femme,4095.80853980202,36
192,Cadre,Femme,4098.95265318145,34
193,Cadre,Femme,4101.55457334709,40
194,Cadre,Femme,4107.93900396475,33
195,Cadre,Femme,4109.81302255813,34
196,Cadre,Femme,4110.07189804382,41
197,Cadre,Femme,4114.65494626488,37
198,Cadre,Femme,4114.8309573987,41
199,Cadre,Femme,4125.80390584816,37
200,Cadre,Femme,4126.07625041925,35
201,Cadre,Femme,4128.01460943401,38
202,Cadre,Femme,4136.49496407836,36
203,Cadre,Femme,4138.15954391748,35
204,Cadre,Femme,4139.11804516004,32
205,Cadre,Femme,4154.48171026856,31
206,Cadre,Femme,4157.39169143325,40
207,Cadre,Femme,4159.04168925928,40
208,Cadre,Femme,4162.77657496876,31
209,Cadre,Femme,4165.43984014994,34
210,Cadre,Femme,4176.81113662137,35
211,Cadre,Femme,4180.74579686244,37
212,Cadre,Femme,4183.36401617355,32
213,Cadre,Femme,4204.21097067738,37
214,Cadre,Femme,4206.71406582489,40
215,Cadre,Femme,4214.12332413017,33
216,Cadre,Femme,4216.65718620281,42
217,Cadre,Femme,4217.6919174559,42
218,Cadre,Femme,4218.18641105993,39
219,Cadre,Femme,4219.14424667401,38
220,Cadre,Femme,4225.94299206548,29
221,Cadre,Femme,4230.0308905491,31
222,Cadre,Femme,4240.37719803535,30
223,Cadre,Femme,4245.14415931339,31
224,Cadre,Femme,4250.24623398163,37
225,Cadre,Femme,4250.39846593714,35
226,Cadre,Femme,4251.87413785853,39
227,Cadre,Femme,4255.11000747411,30
228,Cadre,Femme,4259.72965805385,38
229,Cadre,Femme,4260.83724902902,40
230,Cadre,Femme,4263.78628918554,37
231,Cadre,Femme,4272.82075364162,33
232,Cadre,Femme,4274.58978676876,42
233,Cadre,Femme,4279.85891171573,38
234,Cadre,Femme,4283.41288762935,37
235,Cadre,Femme,4283.81174052231,41
236,Cadre,Femme,4292.39578487779,34
237,Cadre,Femme,4294.2946600677,37
238,Cadre,Femme,4301.58521640869,40
239,Cadre,Femme,4302.15036593805,32
240,Cadre,Femme,4303.20410130434,35
241,Cadre,Femme,4304.91295031108,38
242,Cadre,Femme,4309.42060190307,41
243,Cadre,Femme,4314.37296067642,40
244,Cadre,Femme,4316.7137327582,35
245,Cadre,Femme,4318.68876277839,42
246,Cadre,Femme,4321.36236103555,36
247,Cadre,Femme,4328.20875784164,37
248,Cadre,Femme,4329.74596392745,39
249,Cadre,Femme,4331.32527455244,44
250,Cadre,Femme,4340.02521590209,42
251,Cadre,Femme,4340.66404832548,34
252,Cadre,Femme,4348.20614489031,38
253,Cadre,Femme,4349.66866216413,32
254,Cadre,Femme,4351.5838800826,44
255,Cadre,Femme,4351.69992021605,40
256,Cadre,Femme,4352.83348779772,36
257,Cadre,Femme,4368.08016317209,35
258,Cadre,Femme,4369.47368429609,35
259,Cadre,Femme,4377.18347756192,33
260,Cadre,Femme,4378.45946229056,33
261,Cadre,Femme,4378.57134551686,35
262,Cadre,Femme,4381.55651320263,38
263,Cadre,Femme,4381.67086862386,43
264,Cadre,Femme,4389.27068304755,36
265,Cadre,Femme,4389.8565772915,32
266,Cadre,Femme,4391.47115260649,44
267,Cadre,Femme,4394.58903215157,39
268,Cadre,Femme,4407.45843871528,34
269,Cadre,Femme,4409.38152234135,44
270,Cadre,Femme,4411.06860141116,41
271,Cadre,Femme,4419.04455227769,40
272,Cadre,Femme,4419.12172722545,44
273,Cadre,Femme,4420.85956840774,35
274,Cadre,Femme,4422.77052699456,38
275,Cadre,Femme,4427.19586839721,40
276,Cadre,Femme,4430.08341188379,36
277,Cadre,Femme,4434.06939051485,42
278,Cadre,Femme,4435.3652871439,42
279,Cadre,Femme,4435.61118529635,32
280,Cadre,Femme,4441.99506294463,45
281,Cadre,Femme,4452.42551118532,33
282,Cadre,Femme,4452.71643268025,40
283,Cadre,Femme,4456.35865177314,40
284,Cadre,Femme,4458.09819544265,44
285,Cadre,Femme,4470.41636192508,45
286,Cadre,Femme,4470.96006706392,40
287,Cadre,Femme,4471.46202335125,40
288,Cadre,Femme,4474.9235617207,40
289,Cadre,Femme,4482.21981853641,44
290,Cadre,Femme,4485.35849850145,46
291,Cadre,Femme,4485.53590658897,45
292,Cadre,Femme,4487.55152134601,39
293,Cadre,Femme,4488.0841937843,36
294,Cadre,Femme,4494.75905940781,42
295,Cadre,Femme,4496.85729606192,34
296,Cadre,Femme,4499.01445274418,41
297,Cadre,Femme,4502.65074199539,37
298,Cadre,Femme,4505.80299143606,43
299,Cadre,Femme,4507.6201167751,41
300,Cadre,Femme,4517.89539498507,39
301,Cadre,Femme,4518.08512074557,41
302,Cadre,Femme,4522.50825279236,42
303,Cadre,Femme,4528.97822347516,46
304,Cadre,Femme,4529.14374467911,41
305,Cadre,Femme,4531.76466325177,43
306,Cadre,Femme,4541.14897744679,35
307,Cadre,Femme,4542.11553623172,36
308,Cadre,Femme,4543.00655488186,47
309,Cadre,Femme,4544.0386670576,35
310,Cadre,Femme,4551.95325865403,43
311,Cadre,Femme,4552.22699387019,33
312,Cadre,Femme,4552.89200275186,36
313,Cadre,Femme,4553.32751670268,39
314,Cadre,Femme,4558.34887847836,33
315,Cadre,Femme,4560.65052400268,44
316,Cadre,Femme,4562.40672316787,37
317,Cadre,Femme,4563.90699328459,42
318,Cadre,Femme,4575.06608655477,42
319,Cadre,Femme,4576.93871401074,40
320,Cadre,Femme,4582.85334294352,39
321,Cadre,Femme,4583.02607687767,34
322,Cadre,Femme,4584.47056040857,42
323,Cadre,Femme,4586.74534081837,41
324,Cadre,Femme,4590.9102216825,41
325,Cadre,Femme,4591.0295536921,34
326,Cadre,Femme,4598.43362910379,38
327,Cadre,Femme,4599.5009281387,36
328,Cadre,Femme,4599.5707353422,39
329,Cadre,Femme,4600.54418332543,37
330,Cadre,Femme,4603.96991635694,41
331,Cadre,Femme,4604.50001353389,47
332,Cadre,Femme,4604.65590076387,42
333,Cadre,Femme,4608.18668348681,39
334,Cadre,Femme,4609.36693181596,44
335,Cadre,Femme,4609.97396158634,38
336,Cadre,Femme,4611.84476259665,35
337,Cadre,Femme,4616.31749156735,46
338,Cadre,Femme,4618.79756586209,39
339,Cadre,Femme,4619.02428580147,41
340,Cadre,Femme,4642.87792554199,35
341,Cadre,Femme,4645.17234426266,47
342,Cadre,Femme,4646.09149114126,44
343,Cadre,Femme,4654.31070497887,41
344,Cadre,Femme,4658.44510385743,37
345,Cadre,Femme,4659.10355115362,47
346,Cadre,Femme,4659.98901627005,37
347,Cadre,Femme,4670.56641418133,39
348,Cadre,Femme,4674.69830027982,42
349,Cadre,Femme,4677.65847598432,40
350,Cadre,Femme,4679.16999772356,45
351,Cadre,Femme,4679.79051122588,45
352,Cadre,Femme,4681.65750238875,42
353,Cadre,Femme,4687.15168755665,36
354,Cadre,Femme,4687.91657172736,46
355,Cadre,Femme,4697.90429498127,38
356,Cadre,Femme,4698.14223722785,42
357,Cadre,Femme,4701.3367793162,47
358,Cadre,Femme,4702.88799226376,43
359,Cadre,Femme,4710.39248059811,35
360,Cadre,Femme,4711.24257274482,38
361,Cadre,Femme,4717.1803046966,37
362,Cadre,Femme,4723.48463015775,46
363,Cadre,Femme,4724.56388051277,47
364,Cadre,Femme,4733.73215539807,36
365,Cadre,Femme,4734.93813242895,46
366,Cadre,Femme,4735.76124806435,48
367,Cadre,Femme,4737.08065289844,38
368,Cadre,Femme,4744.28570495038,38
369,Cadre,Femme,4745.42541516316,47
370,Cadre,Femme,4746.93284714584,39
371,Cadre,Femme,4747.04915897888,47
372,Cadre,Femme,4752.22984106241,44
373,Cadre,Femme,4753.5227348565,42
374,Cadre,Femme,4765.09854205837,48
375,Cadre,Femme,4769.4846945289,40
376,Cadre,Femme,4770.74486596199,38
377,Cadre,Femme,4772.33450458589,41
378,Cadre,Femme,4774.32051367952,41
379,Cadre,Femme,4779.92994847292,41
380,Cadre,Femme,4783.12688735843,42
381,Cadre,Femme,4789.37165644779,42
382,Cadre,Femme,4790.25623430441,42
383,Cadre,Femme,4790.77121066999,38
384,Cadre,Femme,4791.72149253955,44
385,Cadre,Femme,4792.591824725,40
386,Cadre,Femme,4797.81050735038,38
387,Cadre,Femme,4801.13397053493,44
388,Cadre,Femme,4801.90495671501,41
389,Cadre,Femme,4802.94558372656,37
390,Cadre,Femme,4806.939641496,42
391,Cadre,Femme,4824.96088613603,48
392,Cadre,Femme,4826.30438552834,40
393,Cadre,Femme,4830.72892765305,39
394,Cadre,Femme,4831.37258878499,46
395,Cadre,Femme,4833.88948215813,43
396,Cadre,Femme,4835.44480644161,47
397,Cadre,Femme,4837.44410739384,50
398,Cadre,Femme,4843.85140447731,43
399,Cadre,Femme,4843.9232814687,44
400,Cadre,Femme,4843.99085654581,45
401,Cadre,Femme,4864.29548005178,38
402,Cadre,Femme,4867.62066939416,45
403,Cadre,Femme,4880.42256111209,42
404,Cadre,Femme,4882.33586177923,51
405,Cadre,Femme,4883.16268515668,51
406,Cadre,Femme,4888.40865346087,47
407,Cadre,Femme,4890.15082449901,45
408,Cadre,Femme,4891.71695435878,48
409,Cadre,Femme,4904.14663838345,51
410,Cadre,Femme,4908.90405446265,51
411,Cadre,Femme,4910.20919304621,41
412,Cadre,Femme,4910.31534491838,43
413,Cadre,Femme,4915.17066747521,39
414,Cadre,Femme,4919.29852410508,43
415,Cadre,Femme,4921.6067505341,50
416,Cadre,Femme,4926.25815826382,38
417,Cadre,Femme,4930.97987192616,50
418,Cadre,Femme,4933.40296002961,43
419,Cadre,Femme,4936.30316787702,51
420,Cadre,Femme,4938.54595932294,52
421,Cadre,Femme,4941.98731428874,51
422,Cadre,Femme,4944.97412775582,44
423,Cadre,Femme,4951.02353014517,45
424,Cadre,Femme,4953.06744019982,53
425,Cadre,Femme,4958.57615444728,42
426,Cadre,Femme,4964.93260043873,41
427,Cadre,Femme,4968.63019996733,44
428,Cadre,Femme,4971.95822274599,52
429,Cadre,Femme,4973.49951203838,44
430,Cadre,Femme,4978.58951599301,48
431,Cadre,Femme,4985.62300643033,50
432,Cadre,Femme,4988.27550660972,46
433,Cadre,Femme,4990.91949977218,43
434,Cadre,Femme,4992.09804825326,42
435,Cadre,Femme,4994.01436339255,49
436,Cadre,Femme,4994.59223612656,44
437,Cadre,Femme,4996.01304418132,47
438,Cadre,Femme,4996.68027149772,47
439,Cadre,Femme,5003.40918056921,49
440,Cadre,Femme,5016.17976676435,44
441,Cadre,Femme,5020.66701109192,48
442,Cadre,Femme,5022.94637260199,42
443,Cadre,Femme,5032.41783107989,51
444,Cadre,Femme,5033.75277293163,54
445,Cadre,Femme,5044.36043134318,47
446,Cadre,Femme,5053.38477643054,52
447,Cadre,Femme,5056.45286748652,46
448,Cadre,Femme,5061.94694072869,51
449,Cadre,Femme,5064.55557547033,45
450,Cadre,Femme,5069.72490034423,45
451,Cadre,Femme,5072.45230913685,46
452,Cadre,Femme,5075.00975380389,50
453,Cadre,Femme,5081.10351265102,46
454,Cadre,Femme,5082.51424666805,48
455,Cadre,Femme,5085.66591002488,48
456,Cadre,Femme,5089.04312787216,53
457,Cadre,Femme,5092.82748074809,50
458,Cadre,Femme,5097.48654744084,45
459,Cadre,Femme,5102.11437528738,54
460,Cadre,Femme,5103.30953914757,45
461,Cadre,Femme,5104.68737109622,44
462,Cadre,Femme,5106.50331236005,47
463,Cadre,Femme,5107.70472960386,44
464,Cadre,Femme,5108.27641553277,52
465,Cadre,Femme,5108.45366310457,50
466,Cadre,Femme,5118.55574202488,46
467,Cadre,Femme,5121.48126286361,42
468,Cadre,Femme,5126.60178012171,53
469,Cadre,Femme,5129.5068668158,48
470,Cadre,Femme,5134.66265199427,48
471,Cadre,Femme,5138.44462853592,42
472,Cadre,Femme,5142.26365603436,42
473,Cadre,Femme,5144.90050853362,41
474,Cadre,Femme,5148.82674594532,48
475,Cadre,Femme,5148.94883656773,49
476,Cadre,Femme,5154.27575835404,42
477,Cadre,Femme,5155.40697212653,45
478,Cadre,Femme,5159.92049825176,48
479,Cadre,Femme,5160.57020093024,48
480,Cadre,Femme,5162.07786592652,52
481,Cadre,Femme,5165.65519232843,43
482,Cadre,Femme,5167.77332047574,45
483,Cadre,Femme,5171.30327758818,48
484,Cadre,Femme,5184.08144345801,53
485,Cadre,Femme,5188.00001315151,53
486,Cadre,Femme,5190.61172461619,53
487,Cadre,Femme,5192.90913523649,53
488,Cadre,Femme,5200.84235186188,46
489,Cadre,Femme,5206.17312191431,52
490,Cadre,Femme,5206.73987075421,43
491,Cadre,Femme,5207.47888273694,51
492,Cadre,Femme,5214.04544834709,44
493,Cadre,Femme,5214.60834546081,44
494,Cadre,Femme,5224.43007344837,52
495,Cadre,Femme,5224.99230878658,53
496,Cadre,Femme,5236.04945954087,53
497,Cadre,Femme,5236.32661332958,50
498,Cadre,Femme,5248.50037044487,53
499,Cadre,Femme,5257.88904735908,45
500,Cadre,Femme,5268.27405257841,48
501,Cadre,Femme,5271.36843601209,52
502,Cadre,Femme,5271.77156285838,54
503,Cadre,Femme,5284.14063181158,45
504,Cadre,Femme,5285.10016125074,51
505,Cadre,Femme,5291.52654635899,48
506,Cadre,Femme,5295.37552148371,57
507,Cadre,Femme,5303.68016741872,54
508,Cadre,Femme,5318.79265965195,54
509,Cadre,Femme,5334.30917268428,55
510,Cadre,Femme,5343.14389599329,50
511,Cadre,Femme,5346.74002796508,52
512,Cadre,Femme,5347.5828324091,46
513,Cadre,Femme,5352.31487779519,51
514,Cadre,Femme,5352.80998915164,49
515,Cadre,Femme,5356.92331780491,56
516,Cadre,Femme,5360.84236688655,44
517,Cadre,Femme,5364.09051354934,52
518,Cadre,Femme,5369.63238158205,45
519,Cadre,Femme,5373.01399982839,57
520,Cadre,Femme,5376.7221569,53
521,Cadre,Femme,5381.58490452799,45
522,Cadre,Femme,5393.55041128289,53
523,Cadre,Femme,5394.34139294738,46
524,Cadre,Femme,5395.71677471344,48
525,Cadre,Femme,5395.78356094155,52
526,Cadre,Femme,5397.9661520121,53
527,Cadre,Femme,5407.04295958125,50
528,Cadre,Femme,5407.8045080264,56
529,Cadre,Femme,5408.41412113193,57
530,Cadre,Femme,5414.83841046602,50
531,Cadre,Femme,5418.02641197975,48
532,Cadre,Femme,5418.73028990228,45
533,Cadre,Femme,5421.03050200549,45
534,Cadre,Femme,5421.26507275323,45
535,Cadre,Femme,5422.70642552576,49
536,Cadre,Femme,5426.87806202039,55
537,Cadre,Femme,5439.98840838438,56
538,Cadre,Femme,5440.26528950993,45
539,Cadre,Femme,5440.74658849321,53
540,Cadre,Femme,5449.7542690416,52
541,Cadre,Femme,5453.61490734346,50
542,Cadre,Femme,5460.53314803461,55
543,Cadre,Femme,5467.2385848398,48
544,Cadre,Femme,5467.49489606217,45
545,Cadre,Femme,5468.5122070267,52
546,Cadre,Femme,5481.81232692097,56
547,Cadre,Femme,5486.25529426355,52
548,Cadre,Femme,5489.0908636208,53
549,Cadre,Femme,5490.92720215131,50
550,Cadre,Femme,5494.73681179045,54
551,Cadre,Femme,5495.55573905069,54
552,Cadre,Femme,5497.92576930717,59
553,Cadre,Femme,5500.71167747832,49
554,Cadre,Femme,5503.0869549061,49
555,Cadre,Femme,5507.26549084946,48
556,Cadre,Femme,5516.06026766922,54
557,Cadre,Femme,5521.70433612267,57
558,Cadre,Femme,5521.7977744567,48
559,Cadre,Femme,5524.30118522166,53
560,Cadre,Femme,5526.53843158663,58
561,Cadre,Femme,5529.36997239992,47
562,Cadre,Femme,5532.61014672568,53
563,Cadre,Femme,5539.63180954748,54
564,Cadre,Femme,5540.07975972231,47
565,Cadre,Femme,5541.63698619774,48
566,Cadre,Femme,5552.93380268754,53
567,Cadre,Femme,5553.21438186685,57
568,Cadre,Femme,5554.94793627338,51
569,Cadre,Femme,5560.37384676023,49
570,Cadre,Femme,5562.03458816336,52
571,Cadre,Femme,5565.4742861966,53
572,Cadre,Femme,5568.79267082699,48
573,Cadre,Femme,5574.18346891549,54
574,Cadre,Femme,5574.43998393291,56
575,Cadre,Femme,5575.89763717816,56
576,Cadre,Femme,5593.85495944777,54
577,Cadre,Femme,5595.63283805527,54
578,Cadre,Femme,5609.42471567365,50
579,Cadre,Femme,5616.42854059611,59
580,Cadre,Femme,5621.30573715683,53
581,Cadre,Femme,5623.033127628,55
582,Cadre,Femme,5649.80885792937,51
583,Cadre,Femme,5658.03131576945,54
584,Cadre,Femme,5659.59973455474,50
585,Cadre,Femme,5677.2816713824,55
586,Cadre,Femme,5679.23037605508,59
587,Cadre,Femme,5683.37325004139,55
588,Cadre,Femme,5683.89218513397,55
589,Cadre,Femme,5684.05634236444,57
590,Cadre,Femme,5688.21083971908,55
591,Cadre,Femme,5690.2246298052,53
592,Cadre,Femme,5703.14666452542,52
593,Cadre,Femme,5703.44078780278,50
594,Cadre,Femme,5708.44478254525,55
595,Cadre,Femme,5711.23356704947,60
596,Cadre,Femme,5717.93044065964,59
597,Cadre,Femme,5719.39519918298,56
598,Cadre,Femme,5721.18115897379,50
599,Cadre,Femme,5727.5825076412,50
600,Cadre,Femme,5738.27058742903,55
601,Cadre,Femme,5747.17831708385,56
602,Cadre,Femme,5756.94571449873,56
603,Cadre,Femme,5757.99313188018,53
604,Cadre,Femme,5773.00552443696,55
605,Cadre,Femme,5776.27586906883,52
606,Cadre,Femme,5778.24367880825,59
607,Cadre,Femme,5784.09678584196,52
608,Cadre,Femme,5789.82689623987,61
609,Cadre,Femme,5816.80022377281,59
610,Cadre,Femme,5830.89054190332,57
611,Cadre,Femme,5836.20363289102,60
612,Cadre,Femme,5841.82982569081,49
613,Cadre,Femme,5841.84041434331,54
614,Cadre,Femme,5842.10550529505,50
615,Cadre,Femme,5843.94142546336,58
616,Cadre,Femme,5855.81697703131,61
617,Cadre,Femme,5859.22271459297,51
618,Cadre,Femme,5859.3736993798,54
619,Cadre,Femme,5874.13646274984,55
620,Cadre,Femme,5886.95564846219,52
621,Cadre,Femme,5893.11853973496,50
622,Cadre,Femme,5911.23765953738,55
623,Cadre,Femme,5926.89995801417,59
624,Cadre,Femme,5926.93144584307,51
625,Cadre,Femme,5929.80027839669,60
626,Cadre,Femme,5931.64660174803,58
627,Cadre,Femme,5941.940309457,50
628,Cadre,Femme,5950.29341243121,57
629,Cadre,Femme,5950.80563924731,63
630,Cadre,Femme,5956.02120315688,62
631,Cadre,Femme,5963.65517376006,57
632,Cadre,Femme,5965.4025657968,58
633,Cadre,Femme,5966.84401437482,50
634,Cadre,Femme,5971.53758128318,59
635,Cadre,Femme,5977.96692640711,62
636,Cadre,Femme,5978.21167049699,58
637,Cadre,Femme,5988.12498498158,54
638,Cadre,Femme,6016.59226879212,63
639,Cadre,Femme,6019.60499935377,63
640,Cadre,Femme,6032.696546397,53
641,Cadre,Femme,6038.4526643283,56
642,Cadre,Femme,6038.70369217318,61
643,Cadre,Femme,6044.87821224432,57
644,Cadre,Femme,6048.20021081244,50
645,Cadre,Femme,6061.6017374603,60
646,Cadre,Femme,6061.85146921718,57
647,Cadre,Femme,6070.74735572527,56
648,Cadre,Femme,6070.80378416166,58
649,Cadre,Femme,6071.80539856189,58
650,Cadre,Femme,6078.63104352272,61
651,Cadre,Femme,6089.11888951743,63
652,Cadre,Femme,6096.46414722886,55
653,Cadre,Femme,6121.50677335164,53
654,Cadre,Femme,6137.98606807574,60
655,Cadre,Femme,6138.98384096318,54
656,Cadre,Femme,6165.28220421206,56
657,Cadre,Femme,6172.94782430059,51
658,Cadre,Femme,6175.79695893714,53
659,Cadre,Femme,6182.71658787003,62
660,Cadre,Femme,6189.44157807552,62
661,Cadre,Femme,6192.0904936018,51
662,Cadre,Femme,6194.15343287523,62
663,Cadre,Femme,6199.60646024431,52
664,Cadre,Femme,6226.93282524744,55
665,Cadre,Femme,6257.28801639771,50
